tntt 知己知彼
wgyy 食不语寝不言
knwb 虽疏食菜羹必祭必齐如也
yggw 席不正不坐
xwqc 乡人饮酒杖者出斯出矣
xwwb 乡人傩朝服而立于阼阶
uwgp 问人于他邦再拜而送之
ybqp 康子馈药拜而受之
vmwp 君赐食必正席先尝之
vmep 君赐腥必熟而荐之
vmtp 君赐生必畜之
wwgq 侍食于君君祭先饭
uvpx 疾君视之东首加朝服拖绅
vwvc 君命召不俟驾行矣
edpr 朋友之馈虽车马非祭肉不拜
pgnp 寝不尸居不客
myyy 见齐衰者虽狎必变
mjfe 见冕者与瞽者虽亵必以貌
qeff 凶服者式之式负版者
ddqw 有盛馔必变色而作
nfmy 迅雷风烈必变
tlnx 升车必正立执绥
lkgr 车中不内顾不疾言不亲指
qaiw 色斯举矣翔而后集
rfgb 后进于礼乐君子也
vepf 如用之则吾从先进
ttux 德行颜渊闵子骞冉伯牛仲弓
yypa 言语宰我子贡
ggmk 政事冉有季路
yibd 文学子游子夏
wguy 人不间于其父母昆弟之言
fpdp 南容三复白圭孔子以其兄之子妻之
uigs 颜渊死颜路请子之车以为之椁
qbgs 鲤也死有棺而无椁吾不徒行以为之椁
ngwb 以吾从大夫之后不可徒行也
dfwy 非夫人之为恸而谁为
dtbb 非我也夫二三子也
ubwb 闵子侍侧訚訚如也
bktb 子路行行如也
mdbb 冉有子贡侃侃如也
wnnw 何必改作
tqpp 季氏富于周公而求也为之聚敛而附益之
hbjk 柴也愚参也鲁师也辟由也喭
mgek 赐不受命而货殖焉亿则屡中
fbau 赤也惑敢问
mbup 由也兼人故退之
blgr 子畏于匡颜渊后
rydh 所谓大臣者以道事君不可则止
vapb 如其礼乐以俟君子
pypg 宗庙之事如会同端章甫愿为小相焉
ytyb 亦各言其志也
fbyd 赤也为之小孰能为之大
gjdg 一日克己复礼天下归仁焉
ywmf 为仁由己而由人乎哉
nrgw 己所不欲勿施于人
ddfq 在邦无怨在家无怨
vbab 君子敬而无失与人恭而有礼四海之内皆兄弟也
iipc 浸润之谮肤受之愬不行焉可谓远也已矣
tdxu 自古皆有死民无信不立
cget 驷不及舌
yqrb 文犹质也质犹文也
hepa 虎豹之鞟犹犬羊之鞟
dvgk 百姓不足君孰与足
epwg 爱之欲其生恶之欲其死
vwab 既欲其生又欲其死是惑也
wvvy 信如君不君臣不臣父不父子不子虽有粟吾得而食诸
nbwt 必也使无讼乎
iwrj 小人反是
bjng 子帅以正孰敢不正
tybb 季康子患盗问于孔子
bwuc 子欲善而民善矣
vbpw 君子之德风小人之德草草上之风必偃
fdbw 夫达也者质直而好义察言而观色虑以下人
ddnd 在邦必达在家必达
fubx 夫闻也者色取仁而行违居之不疑
ddnu 在邦必闻在家必闻
tgrg 先事后得非崇德与
aagg 攻其恶无攻人之恶非修慝与
gfpg 一朝之忿忘其身以及其亲非惑与
edgc 舜有天下选于众举皋陶不仁者远矣
idgc 汤有天下选于众举伊尹不仁者远矣
qrgy 尔所不知人其舍诸
qggk 名不正则言不顺
ygkd 言不顺则事不成
ggdi 事不成则礼乐不兴
pqgk 礼乐不兴则刑罚不中
glgk 刑罚不中则民无所错手足
dvbb 故君子名之必可言也言之必可行也
vbgc 君子于其言无所苟而已矣
hvpa 上好礼则民莫敢不敬
hvye 上好义则民莫敢不服
hvwn 上好信则民莫敢不用情
fvjt 夫如是则四方之民襁负其子而至矣焉用稼
wglc 使于四方不能专对
kqyy 虽多亦奚以为
atgw 其身不正虽令不从
gcgw 不能正其身如正人何
vdgp 如有政虽不吾以吾其与闻之
vgut 如不善而莫之违也不几乎一言而丧邦乎
wgmd 欲速则不达见小利则大事不成
wybc 父为子隐子为父隐直在其中矣
kpgb 虽之夷狄不可弃也
rysc 抑亦可以为次矣
utpb 斗筲之人何足算也
qffb 狂者进取狷者有所不为也
gvxp 不如乡人之善者好之其不善者恶之
iwcg 小人难事而易说也说之虽不以道说也及其使人也求备焉
edan 朋友切切偲偲兄弟怡怡
wfnw 仁者必有勇勇者不必有仁
itfw 尚德哉若人
kgct 忠焉能勿诲乎
dwqy 夺伯氏骈邑三百饭疏食没齿无怨言
mtlc 见利思义见危授命久要不忘平生之言亦可以为成人矣
fbjy 夫子时然后言人不厌其言
qqrt 乐然后笑人不厌其笑
maqt 岂其然乎
vaww 如其仁如其仁
swqp 桓公杀公子纠不能死又相之
ttwc 微管仲吾其被发左衽矣
maab 岂若匹夫匹妇之为谅也自经于沟渎而莫之知也
ftmj 夫我则不暇
feyt 无乃为佞乎
nfrt 以直报怨以德报德
ttft 知我者其天乎
wwpb 公伯寮愬子路于季孙
upub 道之将废也与命也
wwpw 公伯寮其如命何
antc 莫己知也斯己而已矣
imdr 深则厉浅则揭
gpcc 末之难矣
vadr 君薨百官总己以听于冢宰三年
wnny 修己以安百姓尧舜其犹病诸
pypb 军旅之事未之学也
dbxi 在陈绝粮从者病莫能兴
fwyf 夫何为哉
angc 恭己正南面而已矣
ygkf 言不忠信行不笃敬虽州里行乎哉
ummb 立则见其参于前也
dwmt 在舆则见其倚于衡也夫然后行
ddut 邦有道如矢邦无道如矢
vbfg 君子哉蘧伯玉
ddup 邦有道则仕邦无道则可卷而怀之
gsgy 不可与言而与之言失言
tfgy 知者不失人亦不失言
njdf 居是邦也事其大夫之贤者友其士之仁者
yufw 放郑声远佞人
ufig 郑声淫佞人殆
tsgb 知柳下惠之贤而不与立也
vdrc 如有所誉者其有所试矣
anbb 斯民也三代之所以直道而行也
wvpg 众好之必察焉
dbqc 耕也馁在其中矣学也禄在其中矣
vbnw 君子忧道不忧贫
tepa 知及之仁能守之不庄以莅之则民不敬
tepb 知及之仁能守之庄以莅之动之不以礼未善也
iogb 水火吾见蹈而死者矣未见蹈仁而死者也
wnwy 何以伐为
eqyg 且尔言过矣虎兕出于柙龟玉毁于椟中是谁之过与
rbup 丘也闻有国有家者不患寡而患不均不患贫而患不安
uffw 盖均无贫和无寡安无倾
fvjp 夫如是故远人不服则修文德以来之既来之则安之
gatb 吾恐季孙之忧不在颛臾而在萧墙之内也
ggfb 天下无道则礼乐征伐自诸侯出
tywc 自诸侯出盖十世希不失矣
tdfc 自大夫出五世希不失矣
barc 陪臣执国命三世希不失矣
ggdf 天下有道则政不在大夫
ggdy 天下有道则庶人不议
dfdc 友直友谅友多闻益矣
dwnc 友便辟友善柔有便佞损矣
qapc 乐节礼乐乐道人之善乐多贤友益矣
qcqc 乐骄乐乐佚游乐宴乐损矣
eauu 及其壮也血气方刚戒之在斗
eaft 及其老也血气既衰戒之在得
iwgy 小人不知天命而不畏也狎大人侮圣人之言
ldib 困而学之又其次也
ldgc 困而不学民斯为下矣
gmac 吾见其人矣
guac 吾闻其语矣
bnnu 隐居以求其志行义以达其道
guab 吾闻其语矣未见其人也
yjwg 齐景公有马千驷死之日民无德而称焉
wghp 伯夷叔齐饿于首阳之下民到于今称之
aapg 其斯之谓与
uaff 闻斯二者
dvpu 邦君之妻君称之曰夫人夫人自称曰小童
dwtv 邦人称之曰君夫人称诸异邦曰寡小君
ndww 异邦人称之亦曰君夫人
bwwe 阳货欲见孔子孔子不见归孔子豚
bbji 孔子时其亡也而往拜之遇诸涂
bpgf 子之武城闻弦歌之声
uycb 前言戏之耳
wmxt 公山弗扰以费畔召子欲往
vdet 如有用我者吾其为东周乎
amgw 恭则不侮宽则得众信则人任焉敏则有功惠则足以使人
wevt 佛肸召子欲往
gjjd 不曰坚乎磨而不磷
gjrx 不曰白乎涅而不缁
gmdf 吾岂匏瓜也哉
gctw 焉能系而不食
vwgj 好仁不好学其蔽也愚
vtga 好知不好学其蔽也荡
vwgm 好信不好学其蔽也贼
vfgx 好直不好学其蔽也绞
vcgt 好勇不好学其蔽也乱
vmgq 好刚不好学其蔽也狂
qpgq 迩之事父远之事君多识于鸟兽草木之名
qfqf 乐云乐云钟鼓云乎哉
aftp 其未得之也患得之
vtpp 既得之患失之
akrc 苟患失之无所不至矣
dpqa 古之狂也肆今之狂也荡
dpcy 古之矜也廉今之矜也忿戾
dpjc 古之愚也直今之愚也诈而已矣
ljtf 四时行焉百物生焉天何言哉
bdwu 孺悲欲见孔子孔子辞以疾
uwfp 将命者出户取瑟而歌使之闻之
vbdf 君子三年不为礼礼必坏
drgm 三年不为乐乐必崩
hwvc 旧谷既没新谷既升钻燧改火期可已矣
fvbb 夫君子之居丧食旨不甘闻乐不乐居处不安故不为也
wvpp 今女安则为之
btdn 子生三年然后免于父母之怀
fdrt 夫三年之丧天下之通丧也予也有三年之爱于其父母乎
gdft 不有博弈者乎
ypqn 为之犹贤乎已
vbdu 君子有勇而无义为乱小人有勇而无义为盗
tbfg 微子去之箕子为之奴比干谏而死
sggl 柳下惠为士师三黜
sudd 枉道而事人何必去父母之邦
ywjt 齐人归女乐季桓子受之三日不朝孔子行
ndnd 已而已而今之从政者殆而
tiqg 长沮桀溺耦而耕孔子过之使子路问津焉
edgf 且而与其从辟人之士也岂若从辟世之士
bkwa 子路从而后遇丈人以杖荷蓧
hbkg 止子路宿杀鸡为黍而食之见其二子焉
txpp 长幼之节不可废也君臣之义如之何其废之
wiaw 欲洁其身而乱大伦
vbpc 君子之仕也行其义也道之不行已知之矣
